图像ID,色彩协调性,构图新颖性,主题清晰度,感知技术复杂度,整体美学偏好,风格标签
IMG_0001,2.67,3.00,1.67,5.00,3.33,分形
IMG_0002,3.00,2.67,3.33,2.67,2.33,光流
IMG_0003,3.33,3.00,4.00,3.33,3.33,体素
IMG_0004,3.00,2.00,2.67,2.00,1.33,光流
IMG_0005,5.00,1.67,2.33,2.67,4.00,体素
IMG_0006,3.67,2.67,2.67,3.00,2.67,着色器
IMG_0007,4.67,2.33,3.00,1.67,4.33,GAN 合成
IMG_0008,3.00,3.00,2.00,2.67,2.67,GAN 合成
IMG_0009,3.00,4.00,3.33,5.00,3.67,噪声场
IMG_0010,3.00,3.67,2.33,4.00,3.00,分形
IMG_0011,2.33,1.00,4.00,2.33,2.00,数据映射
IMG_0012,1.67,3.00,3.67,4.33,3.33,算法笔触
IMG_0013,2.67,4.00,2.67,4.00,3.00,故障
IMG_0014,5.00,1.67,3.00,3.00,4.00,故障
IMG_0015,4.33,2.00,4.00,1.00,4.00,数据映射
IMG_0016,4.67,3.67,4.00,3.67,4.67,着色器
IMG_0017,3.67,1.00,2.33,4.00,2.67,算法笔触
IMG_0018,3.33,2.00,3.33,3.00,3.33,体素
IMG_0019,2.33,3.33,3.33,3.00,2.67,像素拼贴
IMG_0020,2.00,4.67,4.33,4.33,3.67,分形
IMG_0021,4.00,2.00,2.33,4.33,2.67,算法笔触
IMG_0022,3.00,2.00,4.00,1.67,2.67,着色器
IMG_0023,2.67,3.00,3.00,2.33,2.33,着色器
IMG_0024,2.67,2.67,2.00,3.00,2.33,算法笔触
IMG_0025,2.67,3.00,2.00,4.00,2.33,故障
IMG_0026,4.00,1.67,3.00,1.67,3.00,程序化纹理
IMG_0027,3.33,3.67,2.00,5.00,2.67,分形
IMG_0028,3.00,4.33,4.00,3.67,5.00,GAN 合成
IMG_0029,2.67,3.33,3.33,4.33,2.67,分形
IMG_0030,3.67,3.67,3.33,4.33,4.33,故障
IMG_0031,3.00,2.33,4.00,2.00,2.33,程序化纹理
IMG_0032,3.67,4.33,3.33,5.00,4.00,故障
IMG_0033,3.00,4.00,3.33,4.67,3.67,故障
IMG_0034,3.33,1.67,2.33,2.67,2.33,像素拼贴
IMG_0035,4.00,3.00,3.00,3.67,4.67,故障
IMG_0036,2.67,2.33,2.00,4.00,2.00,算法笔触
IMG_0037,2.67,3.67,3.00,5.00,4.00,分形
IMG_0038,2.33,2.33,2.33,4.67,2.33,故障
IMG_0039,2.00,2.67,3.33,3.33,2.33,故障
IMG_0040,3.33,3.00,1.67,3.00,3.00,GAN 合成
IMG_0041,4.67,2.67,4.00,3.00,4.00,体素
IMG_0042,2.33,1.67,1.67,2.67,2.00,GAN 合成
IMG_0043,3.00,3.33,4.33,3.00,3.33,像素拼贴
IMG_0044,2.67,2.67,2.67,5.00,3.00,故障
IMG_0045,2.00,2.33,3.00,4.00,2.33,光流
IMG_0046,4.33,1.67,3.33,2.00,3.33,体素
IMG_0047,2.67,4.33,4.00,2.00,3.33,着色器
IMG_0048,5.00,2.00,2.33,2.67,4.00,分形
IMG_0049,4.33,2.00,2.33,3.00,3.67,GAN 合成
IMG_0050,3.00,1.33,2.33,3.00,2.33,光流
IMG_0051,3.33,3.00,4.00,3.67,3.67,分形
IMG_0052,2.00,3.67,4.00,3.00,3.33,算法笔触
IMG_0053,5.00,1.67,4.33,1.67,4.33,体素
IMG_0054,4.00,4.00,3.00,4.33,4.00,噪声场
IMG_0055,3.33,4.00,4.00,2.67,3.67,着色器
IMG_0056,3.00,2.00,2.67,4.00,3.00,GAN 合成
IMG_0057,2.67,3.00,2.67,2.33,2.33,着色器
IMG_0058,2.33,4.67,3.33,4.00,3.00,噪声场
IMG_0059,5.00,3.67,4.00,4.33,4.67,算法笔触
IMG_0060,2.00,3.00,1.33,5.00,2.00,分形
IMG_0061,4.67,4.33,3.67,2.33,4.33,数据映射
IMG_0062,4.33,3.33,4.33,4.00,5.00,体素
IMG_0063,3.67,3.33,4.00,2.33,4.00,像素拼贴
IMG_0064,3.00,2.67,4.33,2.67,3.33,光流
IMG_0065,4.67,3.33,4.33,4.33,4.67,故障
IMG_0066,2.67,4.67,4.00,3.67,3.33,故障
IMG_0067,2.67,3.67,4.00,3.67,3.33,噪声场
IMG_0068,3.33,3.67,3.33,3.00,3.33,着色器
IMG_0069,3.67,4.00,2.00,3.00,2.67,GAN 合成
IMG_0070,3.33,2.33,2.00,5.00,3.00,算法笔触
IMG_0071,2.67,2.67,3.33,3.00,2.00,GAN 合成
IMG_0072,3.67,3.00,4.33,3.67,4.00,算法笔触
