Image ID,Color Harmony,Compositional Novelty,Subject Clarity,Perceived Technical Complexity,Overall Aesthetic Preference,Style Label
IMG_0001,2.67,3.00,1.67,5.00,3.33,fractal
IMG_0002,3.00,2.67,3.33,2.67,2.33,optical-flow
IMG_0003,3.33,3.00,4.00,3.33,3.33,voxel
IMG_0004,3.00,2.00,2.67,2.00,1.33,optical-flow
IMG_0005,5.00,1.67,2.33,2.67,4.00,voxel
IMG_0006,3.67,2.67,2.67,3.00,2.67,shader
IMG_0007,4.67,2.33,3.00,1.67,4.33,GAN-synthesised
IMG_0008,3.00,3.00,2.00,2.67,2.67,GAN-synthesised
IMG_0009,3.00,4.00,3.33,5.00,3.67,noise-field
IMG_0010,3.00,3.67,2.33,4.00,3.00,fractal
IMG_0011,2.33,1.00,4.00,2.33,2.00,data-mapping
IMG_0012,1.67,3.00,3.67,4.33,3.33,algorithmic-stroke
IMG_0013,2.67,4.00,2.67,4.00,3.00,glitch
IMG_0014,5.00,1.67,3.00,3.00,4.00,glitch
IMG_0015,4.33,2.00,4.00,1.00,4.00,data-mapping
IMG_0016,4.67,3.67,4.00,3.67,4.67,shader
IMG_0017,3.67,1.00,2.33,4.00,2.67,algorithmic-stroke
IMG_0018,3.33,2.00,3.33,3.00,3.33,voxel
IMG_0019,2.33,3.33,3.33,3.00,2.67,pixel-collage
IMG_0020,2.00,4.67,4.33,4.33,3.67,fractal
IMG_0021,4.00,2.00,2.33,4.33,2.67,algorithmic-stroke
IMG_0022,3.00,2.00,4.00,1.67,2.67,shader
IMG_0023,2.67,3.00,3.00,2.33,2.33,shader
IMG_0024,2.67,2.67,2.00,3.00,2.33,algorithmic-stroke
IMG_0025,2.67,3.00,2.00,4.00,2.33,glitch
IMG_0026,4.00,1.67,3.00,1.67,3.00,procedural-texture
IMG_0027,3.33,3.67,2.00,5.00,2.67,fractal
IMG_0028,3.00,4.33,4.00,3.67,5.00,GAN-synthesised
IMG_0029,2.67,3.33,3.33,4.33,2.67,fractal
IMG_0030,3.67,3.67,3.33,4.33,4.33,glitch
IMG_0031,3.00,2.33,4.00,2.00,2.33,procedural-texture
IMG_0032,3.67,4.33,3.33,5.00,4.00,glitch
IMG_0033,3.00,4.00,3.33,4.67,3.67,glitch
IMG_0034,3.33,1.67,2.33,2.67,2.33,pixel-collage
IMG_0035,4.00,3.00,3.00,3.67,4.67,glitch
IMG_0036,2.67,2.33,2.00,4.00,2.00,algorithmic-stroke
IMG_0037,2.67,3.67,3.00,5.00,4.00,fractal
IMG_0038,2.33,2.33,2.33,4.67,2.33,glitch
IMG_0039,2.00,2.67,3.33,3.33,2.33,glitch
IMG_0040,3.33,3.00,1.67,3.00,3.00,GAN-synthesised
IMG_0041,4.67,2.67,4.00,3.00,4.00,voxel
IMG_0042,2.33,1.67,1.67,2.67,2.00,GAN-synthesised
IMG_0043,3.00,3.33,4.33,3.00,3.33,pixel-collage
IMG_0044,2.67,2.67,2.67,5.00,3.00,glitch
IMG_0045,2.00,2.33,3.00,4.00,2.33,optical-flow
IMG_0046,4.33,1.67,3.33,2.00,3.33,voxel
IMG_0047,2.67,4.33,4.00,2.00,3.33,shader
IMG_0048,5.00,2.00,2.33,2.67,4.00,fractal
IMG_0049,4.33,2.00,2.33,3.00,3.67,GAN-synthesised
IMG_0050,3.00,1.33,2.33,3.00,2.33,optical-flow
IMG_0051,3.33,3.00,4.00,3.67,3.67,fractal
IMG_0052,2.00,3.67,4.00,3.00,3.33,algorithmic-stroke
IMG_0053,5.00,1.67,4.33,1.67,4.33,voxel
IMG_0054,4.00,4.00,3.00,4.33,4.00,noise-field
IMG_0055,3.33,4.00,4.00,2.67,3.67,shader
IMG_0056,3.00,2.00,2.67,4.00,3.00,GAN-synthesised
IMG_0057,2.67,3.00,2.67,2.33,2.33,shader
IMG_0058,2.33,4.67,3.33,4.00,3.00,noise-field
IMG_0059,5.00,3.67,4.00,4.33,4.67,algorithmic-stroke
IMG_0060,2.00,3.00,1.33,5.00,2.00,fractal
IMG_0061,4.67,4.33,3.67,2.33,4.33,data-mapping
IMG_0062,4.33,3.33,4.33,4.00,5.00,voxel
IMG_0063,3.67,3.33,4.00,2.33,4.00,pixel-collage
IMG_0064,3.00,2.67,4.33,2.67,3.33,optical-flow
IMG_0065,4.67,3.33,4.33,4.33,4.67,glitch
IMG_0066,2.67,4.67,4.00,3.67,3.33,glitch
IMG_0067,2.67,3.67,4.00,3.67,3.33,noise-field
IMG_0068,3.33,3.67,3.33,3.00,3.33,shader
IMG_0069,3.67,4.00,2.00,3.00,2.67,GAN-synthesised
IMG_0070,3.33,2.33,2.00,5.00,3.00,algorithmic-stroke
IMG_0071,2.67,2.67,3.33,3.00,2.00,GAN-synthesised
IMG_0072,3.67,3.00,4.33,3.67,4.00,algorithmic-stroke
IMG_0073,3.00,3.33,4.00,3.00,3.00,pixel-collage
IMG_0074,3.67,2.00,2.00,2.00,2.00,GAN-synthesised
IMG_0075,3.00,2.00,2.33,3.33,2.33,voxel
IMG_0076,4.00,3.00,3.67,2.67,3.67,procedural-texture
IMG_0077,1.67,4.00,2.00,5.00,2.33,noise-field
IMG_0078,4.33,4.00,4.33,4.33,4.67,glitch
IMG_0079,2.33,5.00,3.33,5.00,3.67,noise-field
IMG_0080,3.67,3.67,5.00,2.33,4.00,fractal
IMG_0081,4.67,4.00,3.33,5.00,4.67,fractal
IMG_0082,2.33,3.67,3.00,5.00,2.67,glitch
IMG_0083,4.33,3.33,3.33,3.00,4.00,optical-flow
IMG_0084,4.33,1.00,2.00,1.33,3.00,data-mapping
IMG_0085,1.33,2.33,2.67,4.00,1.33,glitch
IMG_0086,2.33,2.33,1.67,3.00,2.33,fractal
IMG_0087,3.67,4.33,3.33,3.67,3.67,glitch
IMG_0088,4.00,4.00,2.67,5.00,4.00,glitch
