Virtual User Agent ID,Age encoding,Preference Style,Score(1-5)
A0000,3 (29-45 years old),noise-field,4
A0000,3 (29-45 years old),optical-flow,4
A0000,3 (29-45 years old),pixel-collage,3
A0000,3 (29-45 years old),optical-flow,2
A0000,3 (29-45 years old),shader,3
A0000,3 (29-45 years old),noise-field,3
A0000,3 (29-45 years old),glitch,4
A0000,3 (29-45 years old),particle,4
A0000,3 (29-45 years old),pixel-collage,3
A0000,3 (29-45 years old),fractal,5
A0000,3 (29-45 years old),voxel,3
A0000,3 (29-45 years old),GAN-synthesised,3
A0000,3 (29-45 years old),voxel,3
A0000,3 (29-45 years old),noise-field,2
A0000,3 (29-45 years old),data-mapping,4
A0000,3 (29-45 years old),fractal,4
A0000,3 (29-45 years old),shader,4
A0000,3 (29-45 years old),noise-field,4
A0000,3 (29-45 years old),voxel,3
A0000,3 (29-45 years old),GAN-synthesised,2
A0000,3 (29-45 years old),algorithmic-stroke,3
A0000,3 (29-45 years old),particle,4
A0000,3 (29-45 years old),fractal,4
A0000,3 (29-45 years old),particle,4
A0000,3 (29-45 years old),particle,4
A0000,3 (29-45 years old),GAN-synthesised,3
A0000,3 (29-45 years old),voxel,3
A0000,3 (29-45 years old),pixel-collage,3
A0000,3 (29-45 years old),algorithmic-stroke,2
A0000,3 (29-45 years old),procedural-texture,3
A0000,3 (29-45 years old),glitch,4
A0000,3 (29-45 years old),procedural-texture,2
A0000,3 (29-45 years old),optical-flow,2
A0000,3 (29-45 years old),algorithmic-stroke,3
A0000,3 (29-45 years old),pixel-collage,4
A0000,3 (29-45 years old),glitch,5
A0000,3 (29-45 years old),fractal,4
A0000,3 (29-45 years old),optical-flow,3
A0000,3 (29-45 years old),procedural-texture,4
A0000,3 (29-45 years old),shader,3
A0000,3 (29-45 years old),algorithmic-stroke,4
A0000,3 (29-45 years old),data-mapping,4
A0000,3 (29-45 years old),data-mapping,4
A0000,3 (29-45 years old),data-mapping,4
A0000,3 (29-45 years old),shader,2
A0000,3 (29-45 years old),GAN-synthesised,3
A0000,3 (29-45 years old),procedural-texture,2
A0000,3 (29-45 years old),glitch,3
A0000,3 (29-45 years old),data-mapping,4
A0000,3 (29-45 years old),GAN-synthesised,3
A0001,2 (19-28 years old),procedural-texture,4
A0001,2 (19-28 years old),procedural-texture,1
A0001,2 (19-28 years old),shader,3
A0001,2 (19-28 years old),noise-field,2
A0001,2 (19-28 years old),particle,3
A0001,2 (19-28 years old),particle,4
A0001,2 (19-28 years old),algorithmic-stroke,5
A0001,2 (19-28 years old),voxel,3
A0001,2 (19-28 years old),noise-field,4
A0001,2 (19-28 years old),pixel-collage,2
A0001,2 (19-28 years old),shader,3
A0001,2 (19-28 years old),procedural-texture,2
A0001,2 (19-28 years old),fractal,4
A0001,2 (19-28 years old),optical-flow,2
A0001,2 (19-28 years old),glitch,1
A0001,2 (19-28 years old),fractal,3
A0001,2 (19-28 years old),glitch,3
A0001,2 (19-28 years old),shader,3
A0001,2 (19-28 years old),GAN-synthesised,4
A0001,2 (19-28 years old),pixel-collage,1
A0001,2 (19-28 years old),noise-field,4
A0001,2 (19-28 years old),pixel-collage,2
A0001,2 (19-28 years old),noise-field,4
A0001,2 (19-28 years old),optical-flow,3
A0001,2 (19-28 years old),particle,2
A0001,2 (19-28 years old),algorithmic-stroke,2
A0001,2 (19-28 years old),GAN-synthesised,3
A0001,2 (19-28 years old),pixel-collage,3
A0001,2 (19-28 years old),optical-flow,1
A0001,2 (19-28 years old),procedural-texture,3
A0001,2 (19-28 years old),algorithmic-stroke,1
A0001,2 (19-28 years old),algorithmic-stroke,2
A0001,2 (19-28 years old),data-mapping,3
A0001,2 (19-28 years old),data-mapping,5
A0001,2 (19-28 years old),particle,5
A0001,2 (19-28 years old),pixel-collage,2
A0001,2 (19-28 years old),voxel,3
A0001,2 (19-28 years old),data-mapping,4
A0001,2 (19-28 years old),voxel,1
A0001,2 (19-28 years old),glitch,4
A0001,2 (19-28 years old),fractal,3
A0001,2 (19-28 years old),GAN-synthesised,1
A0001,2 (19-28 years old),GAN-synthesised,4
A0001,2 (19-28 years old),glitch,3
A0001,2 (19-28 years old),data-mapping,4
A0001,2 (19-28 years old),optical-flow,3
A0001,2 (19-28 years old),shader,3
A0001,2 (19-28 years old),voxel,3
A0001,2 (19-28 years old),fractal,5
A0001,2 (19-28 years old),procedural-texture,3
A0002,2 (19-28 years old),GAN-synthesised,2
A0002,2 (19-28 years old),shader,2
A0002,2 (19-28 years old),optical-flow,1
A0002,2 (19-28 years old),shader,4
A0002,2 (19-28 years old),procedural-texture,3
A0002,2 (19-28 years old),fractal,3
A0002,2 (19-28 years old),fractal,5
A0002,2 (19-28 years old),particle,3
A0002,2 (19-28 years old),optical-flow,3
A0002,2 (19-28 years old),shader,2
A0002,2 (19-28 years old),fractal,5
A0002,2 (19-28 years old),procedural-texture,2
A0002,2 (19-28 years old),shader,3
A0002,2 (19-28 years old),pixel-collage,4
A0002,2 (19-28 years old),optical-flow,2
A0002,2 (19-28 years old),data-mapping,2
A0002,2 (19-28 years old),algorithmic-stroke,1
A0002,2 (19-28 years old),glitch,3
A0002,2 (19-28 years old),GAN-synthesised,3
A0002,2 (19-28 years old),data-mapping,3
A0002,2 (19-28 years old),data-mapping,3
A0002,2 (19-28 years old),data-mapping,4
A0002,2 (19-28 years old),noise-field,4
A0002,2 (19-28 years old),GAN-synthesised,4
A0002,2 (19-28 years old),noise-field,4
A0002,2 (19-28 years old),voxel,2
A0002,2 (19-28 years old),GAN-synthesised,4
A0002,2 (19-28 years old),algorithmic-stroke,3
A0002,2 (19-28 years old),noise-field,5
A0002,2 (19-28 years old),voxel,2
A0002,2 (19-28 years old),optical-flow,2
A0002,2 (19-28 years old),glitch,4
A0002,2 (19-28 years old),algorithmic-stroke,3
A0002,2 (19-28 years old),noise-field,5
A0002,2 (19-28 years old),fractal,5
A0002,2 (19-28 years old),voxel,3
A0002,2 (19-28 years old),particle,3
A0002,2 (19-28 years old),pixel-collage,1
A0002,2 (19-28 years old),voxel,4
A0002,2 (19-28 years old),glitch,2
A0002,2 (19-28 years old),voxel,3
A0002,2 (19-28 years old),particle,4
A0002,2 (19-28 years old),procedural-texture,1
A0002,2 (19-28 years old),algorithmic-stroke,3
A0002,2 (19-28 years old),procedural-texture,1
A0002,2 (19-28 years old),glitch,4
A0002,2 (19-28 years old),pixel-collage,3
A0002,2 (19-28 years old),pixel-collage,4
A0002,2 (19-28 years old),data-mapping,3
A0002,2 (19-28 years old),particle,3
A0003,2 (19-28 years old),optical-flow,4
A0003,2 (19-28 years old),GAN-synthesised,2
A0003,2 (19-28 years old),noise-field,5
A0003,2 (19-28 years old),algorithmic-stroke,4
A0003,2 (19-28 years old),noise-field,5
A0003,2 (19-28 years old),optical-flow,4
A0003,2 (19-28 years old),glitch,2
A0003,2 (19-28 years old),GAN-synthesised,3
A0003,2 (19-28 years old),fractal,3
A0003,2 (19-28 years old),voxel,4
A0003,2 (19-28 years old),fractal,3
A0003,2 (19-28 years old),voxel,3
A0003,2 (19-28 years old),GAN-synthesised,3
A0003,2 (19-28 years old),procedural-texture,3
A0003,2 (19-28 years old),pixel-collage,2
A0003,2 (19-28 years old),voxel,4
A0003,2 (19-28 years old),glitch,5
A0003,2 (19-28 years old),GAN-synthesised,4
A0003,2 (19-28 years old),glitch,4
A0003,2 (19-28 years old),data-mapping,2
A0003,2 (19-28 years old),fractal,4
A0003,2 (19-28 years old),shader,5
A0003,2 (19-28 years old),noise-field,4
A0003,2 (19-28 years old),data-mapping,2
A0003,2 (19-28 years old),particle,2
A0003,2 (19-28 years old),shader,4
A0003,2 (19-28 years old),particle,4
A0003,2 (19-28 years old),voxel,3
A0003,2 (19-28 years old),data-mapping,3
A0003,2 (19-28 years old),pixel-collage,3
A0003,2 (19-28 years old),glitch,4
A0003,2 (19-28 years old),noise-field,4
A0003,2 (19-28 years old),procedural-texture,4
A0003,2 (19-28 years old),algorithmic-stroke,3
A0003,2 (19-28 years old),particle,3
A0003,2 (19-28 years old),procedural-texture,3
A0003,2 (19-28 years old),optical-flow,4
A0003,2 (19-28 years old),particle,5
A0003,2 (19-28 years old),data-mapping,1
A0003,2 (19-28 years old),pixel-collage,3
A0003,2 (19-28 years old),shader,5
A0003,2 (19-28 years old),optical-flow,4
A0003,2 (19-28 years old),pixel-collage,2
A0003,2 (19-28 years old),algorithmic-stroke,3
A0003,2 (19-28 years old),procedural-texture,3
A0003,2 (19-28 years old),optical-flow,4
A0003,2 (19-28 years old),fractal,2
A0003,2 (19-28 years old),fractal,4
A0003,2 (19-28 years old),algorithmic-stroke,4
A0003,2 (19-28 years old),shader,4
A0004,1 (13-18 years old),GAN-synthesised,3
A0004,1 (13-18 years old),GAN-synthesised,5
A0004,1 (13-18 years old),data-mapping,5
A0004,1 (13-18 years old),voxel,4
A0004,1 (13-18 years old),glitch,5
A0004,1 (13-18 years old),optical-flow,3
A0004,1 (13-18 years old),voxel,3
A0004,1 (13-18 years old),shader,4
A0004,1 (13-18 years old),noise-field,5
A0004,1 (13-18 years old),procedural-texture,1
A0004,1 (13-18 years old),pixel-collage,4
A0004,1 (13-18 years old),algorithmic-stroke,1
A0004,1 (13-18 years old),GAN-synthesised,3
A0004,1 (13-18 years old),voxel,1
A0004,1 (13-18 years old),procedural-texture,4
A0004,1 (13-18 years old),fractal,4
A0004,1 (13-18 years old),data-mapping,3
A0004,1 (13-18 years old),data-mapping,4
A0004,1 (13-18 years old),shader,2
A0004,1 (13-18 years old),particle,3
A0004,1 (13-18 years old),fractal,2
A0004,1 (13-18 years old),particle,4
A0004,1 (13-18 years old),shader,2
A0004,1 (13-18 years old),procedural-texture,3
A0004,1 (13-18 years old),noise-field,3
A0004,1 (13-18 years old),glitch,4
A0004,1 (13-18 years old),noise-field,3
A0004,1 (13-18 years old),optical-flow,5
A0004,1 (13-18 years old),glitch,5
A0004,1 (13-18 years old),algorithmic-stroke,4
A0004,1 (13-18 years old),algorithmic-stroke,4
A0004,1 (13-18 years old),GAN-synthesised,2
A0004,1 (13-18 years old),optical-flow,3
A0004,1 (13-18 years old),algorithmic-stroke,4
A0004,1 (13-18 years old),glitch,4
A0004,1 (13-18 years old),fractal,2
A0004,1 (13-18 years old),fractal,2
A0004,1 (13-18 years old),particle,4
A0004,1 (13-18 years old),shader,3
A0004,1 (13-18 years old),shader,3
A0004,1 (13-18 years old),procedural-texture,3
A0004,1 (13-18 years old),optical-flow,3
A0004,1 (13-18 years old),pixel-collage,3
A0004,1 (13-18 years old),pixel-collage,4
A0004,1 (13-18 years old),data-mapping,5
A0004,1 (13-18 years old),particle,1
A0004,1 (13-18 years old),optical-flow,3
A0004,1 (13-18 years old),voxel,5
A0004,1 (13-18 years old),pixel-collage,4
A0004,1 (13-18 years old),noise-field,5
A0005,4 (46-60 years old),fractal,2
A0005,4 (46-60 years old),pixel-collage,4
A0005,4 (46-60 years old),noise-field,4
A0005,4 (46-60 years old),voxel,3
A0005,4 (46-60 years old),shader,3
A0005,4 (46-60 years old),procedural-texture,3
A0005,4 (46-60 years old),voxel,2
A0005,4 (46-60 years old),particle,4
A0005,4 (46-60 years old),algorithmic-stroke,4
A0005,4 (46-60 years old),particle,2
A0005,4 (46-60 years old),pixel-collage,3
A0005,4 (46-60 years old),noise-field,3
A0005,4 (46-60 years old),optical-flow,3
A0005,4 (46-60 years old),pixel-collage,2
A0005,4 (46-60 years old),fractal,2
A0005,4 (46-60 years old),shader,3
A0005,4 (46-60 years old),GAN-synthesised,1
A0005,4 (46-60 years old),pixel-collage,5
A0005,4 (46-60 years old),voxel,4
A0005,4 (46-60 years old),optical-flow,3
A0005,4 (46-60 years old),GAN-synthesised,4
A0005,4 (46-60 years old),glitch,1
A0005,4 (46-60 years old),optical-flow,3
A0005,4 (46-60 years old),noise-field,2
A0005,4 (46-60 years old),data-mapping,3
A0005,4 (46-60 years old),algorithmic-stroke,2
A0005,4 (46-60 years old),algorithmic-stroke,2
A0005,4 (46-60 years old),shader,2
A0005,4 (46-60 years old),fractal,1
A0005,4 (46-60 years old),procedural-texture,2
A0005,4 (46-60 years old),GAN-synthesised,1
A0005,4 (46-60 years old),glitch,3
A0005,4 (46-60 years old),voxel,4
A0005,4 (46-60 years old),noise-field,3
A0005,4 (46-60 years old),algorithmic-stroke,3
A0005,4 (46-60 years old),shader,2
A0005,4 (46-60 years old),GAN-synthesised,2
A0005,4 (46-60 years old),data-mapping,5
A0005,4 (46-60 years old),glitch,4
A0005,4 (46-60 years old),data-mapping,4
A0005,4 (46-60 years old),procedural-texture,2
A0005,4 (46-60 years old),voxel,3
A0005,4 (46-60 years old),GAN-synthesised,4
A0005,4 (46-60 years old),glitch,3
A0005,4 (46-60 years old),procedural-texture,3
A0005,4 (46-60 years old),fractal,3
A0005,4 (46-60 years old),data-mapping,5
A0005,4 (46-60 years old),optical-flow,5
A0005,4 (46-60 years old),particle,4
A0005,4 (46-60 years old),particle,3
A0006,3 (29-45 years old),GAN-synthesised,5
A0006,3 (29-45 years old),fractal,5
A0006,3 (29-45 years old),procedural-texture,3
A0006,3 (29-45 years old),pixel-collage,4
A0006,3 (29-45 years old),procedural-texture,4
A0006,3 (29-45 years old),glitch,4
A0006,3 (29-45 years old),procedural-texture,3
A0006,3 (29-45 years old),voxel,2
A0006,3 (29-45 years old),shader,2
A0006,3 (29-45 years old),algorithmic-stroke,4
A0006,3 (29-45 years old),GAN-synthesised,3
A0006,3 (29-45 years old),glitch,2
A0006,3 (29-45 years old),noise-field,2
A0006,3 (29-45 years old),shader,3
A0006,3 (29-45 years old),particle,2
A0006,3 (29-45 years old),optical-flow,4
A0006,3 (29-45 years old),noise-field,3
A0006,3 (29-45 years old),shader,2
A0006,3 (29-45 years old),optical-flow,3
A0006,3 (29-45 years old),fractal,5
A0006,3 (29-45 years old),algorithmic-stroke,2
A0006,3 (29-45 years old),data-mapping,4
A0006,3 (29-45 years old),data-mapping,1
A0006,3 (29-45 years old),algorithmic-stroke,4
A0006,3 (29-45 years old),optical-flow,2
A0006,3 (29-45 years old),procedural-texture,4
A0006,3 (29-45 years old),pixel-collage,1
A0006,3 (29-45 years old),noise-field,4
A0006,3 (29-45 years old),glitch,5
A0006,3 (29-45 years old),particle,2
A0006,3 (29-45 years old),fractal,4
A0006,3 (29-45 years old),glitch,3
A0006,3 (29-45 years old),GAN-synthesised,2
A0006,3 (29-45 years old),GAN-synthesised,2
A0006,3 (29-45 years old),algorithmic-stroke,2
A0006,3 (29-45 years old),pixel-collage,3
A0006,3 (29-45 years old),pixel-collage,1
A0006,3 (29-45 years old),data-mapping,3
A0006,3 (29-45 years old),optical-flow,4
A0006,3 (29-45 years old),procedural-texture,1
A0006,3 (29-45 years old),particle,3
A0006,3 (29-45 years old),voxel,4
A0006,3 (29-45 years old),glitch,3
A0006,3 (29-45 years old),noise-field,2
A0006,3 (29-45 years old),voxel,4
A0006,3 (29-45 years old),particle,5
A0006,3 (29-45 years old),shader,2
A0006,3 (29-45 years old),fractal,3
A0006,3 (29-45 years old),data-mapping,2
A0006,3 (29-45 years old),voxel,5
A0007,2 (19-28 years old),voxel,5
A0007,2 (19-28 years old),noise-field,3
A0007,2 (19-28 years old),data-mapping,3
A0007,2 (19-28 years old),pixel-collage,3
A0007,2 (19-28 years old),optical-flow,1
A0007,2 (19-28 years old),data-mapping,3
A0007,2 (19-28 years old),optical-flow,4
A0007,2 (19-28 years old),voxel,3
A0007,2 (19-28 years old),optical-flow,3
A0007,2 (19-28 years old),optical-flow,2
A0007,2 (19-28 years old),voxel,3
A0007,2 (19-28 years old),data-mapping,4
A0007,2 (19-28 years old),glitch,3
A0007,2 (19-28 years old),data-mapping,1
A0007,2 (19-28 years old),pixel-collage,2
A0007,2 (19-28 years old),fractal,4
A0007,2 (19-28 years old),algorithmic-stroke,4
A0007,2 (19-28 years old),GAN-synthesised,4
A0007,2 (19-28 years old),glitch,2
A0007,2 (19-28 years old),pixel-collage,2
A0007,2 (19-28 years old),fractal,2
A0007,2 (19-28 years old),algorithmic-stroke,3
A0007,2 (19-28 years old),procedural-texture,1
A0007,2 (19-28 years old),particle,4
A0007,2 (19-28 years old),particle,4
A0007,2 (19-28 years old),GAN-synthesised,2
A0007,2 (19-28 years old),glitch,4
A0007,2 (19-28 years old),GAN-synthesised,3
A0007,2 (19-28 years old),shader,5
A0007,2 (19-28 years old),particle,3
A0007,2 (19-28 years old),GAN-synthesised,2
A0007,2 (19-28 years old),shader,4
A0007,2 (19-28 years old),noise-field,4
A0007,2 (19-28 years old),procedural-texture,4
A0007,2 (19-28 years old),fractal,2
A0007,2 (19-28 years old),particle,5
A0007,2 (19-28 years old),glitch,4
A0007,2 (19-28 years old),noise-field,4
A0007,2 (19-28 years old),shader,4
A0007,2 (19-28 years old),voxel,3
A0007,2 (19-28 years old),algorithmic-stroke,2
A0007,2 (19-28 years old),algorithmic-stroke,4
A0007,2 (19-28 years old),procedural-texture,2
A0007,2 (19-28 years old),fractal,4
A0007,2 (19-28 years old),glitch,3
A0007,2 (19-28 years old),optical-flow,2
A0007,2 (19-28 years old),noise-field,4
A0007,2 (19-28 years old),shader,3
A0007,2 (19-28 years old),procedural-texture,4
A0007,2 (19-28 years old),pixel-collage,1
A0008,2 (19-28 years old),voxel,1
A0008,2 (19-28 years old),noise-field,4
A0008,2 (19-28 years old),pixel-collage,3
A0008,2 (19-28 years old),GAN-synthesised,1
A0008,2 (19-28 years old),shader,2
A0008,2 (19-28 years old),optical-flow,3
A0008,2 (19-28 years old),particle,4
A0008,2 (19-28 years old),algorithmic-stroke,3
A0008,2 (19-28 years old),particle,3
A0008,2 (19-28 years old),noise-field,2
A0008,2 (19-28 years old),pixel-collage,3
A0008,2 (19-28 years old),procedural-texture,2
A0008,2 (19-28 years old),noise-field,5
A0008,2 (19-28 years old),shader,3
A0008,2 (19-28 years old),fractal,3
A0008,2 (19-28 years old),optical-flow,3
A0008,2 (19-28 years old),data-mapping,5
A0008,2 (19-28 years old),algorithmic-stroke,4
A0008,2 (19-28 years old),pixel-collage,2
A0008,2 (19-28 years old),glitch,4
A0008,2 (19-28 years old),pixel-collage,3
A0008,2 (19-28 years old),glitch,3
A0008,2 (19-28 years old),algorithmic-stroke,3
A0008,2 (19-28 years old),pixel-collage,4
A0008,2 (19-28 years old),fractal,4
A0008,2 (19-28 years old),fractal,4
A0008,2 (19-28 years old),glitch,3
A0008,2 (19-28 years old),glitch,3
A0008,2 (19-28 years old),voxel,3
A0008,2 (19-28 years old),particle,4
A0008,2 (19-28 years old),GAN-synthesised,2
A0008,2 (19-28 years old),data-mapping,3
A0008,2 (19-28 years old),noise-field,3
A0008,2 (19-28 years old),procedural-texture,1
A0008,2 (19-28 years old),voxel,4
A0008,2 (19-28 years old),algorithmic-stroke,2
A0008,2 (19-28 years old),optical-flow,3
A0008,2 (19-28 years old),procedural-texture,3
A0008,2 (19-28 years old),shader,4
A0008,2 (19-28 years old),GAN-synthesised,4
A0008,2 (19-28 years old),data-mapping,4
A0008,2 (19-28 years old),GAN-synthesised,2
A0008,2 (19-28 years old),fractal,5
A0008,2 (19-28 years old),procedural-texture,3
A0008,2 (19-28 years old),procedural-texture,1
A0008,2 (19-28 years old),data-mapping,4
A0008,2 (19-28 years old),optical-flow,4
A0008,2 (19-28 years old),shader,2
A0008,2 (19-28 years old),particle,4
A0008,2 (19-28 years old),voxel,1
A0009,3 (29-45 years old),GAN-synthesised,2
A0009,3 (29-45 years old),glitch,2
A0009,3 (29-45 years old),shader,3
A0009,3 (29-45 years old),shader,3
A0009,3 (29-45 years old),GAN-synthesised,2
A0009,3 (29-45 years old),noise-field,4
A0009,3 (29-45 years old),particle,2
A0009,3 (29-45 years old),voxel,4
A0009,3 (29-45 years old),fractal,5
A0009,3 (29-45 years old),data-mapping,5
A0009,3 (29-45 years old),optical-flow,3
A0009,3 (29-45 years old),pixel-collage,5
A0009,3 (29-45 years old),optical-flow,2
A0009,3 (29-45 years old),voxel,4
A0009,3 (29-45 years old),glitch,3
A0009,3 (29-45 years old),algorithmic-stroke,2
A0009,3 (29-45 years old),procedural-texture,3
A0009,3 (29-45 years old),data-mapping,5
A0009,3 (29-45 years old),data-mapping,4
A0009,3 (29-45 years old),noise-field,3
A0009,3 (29-45 years old),fractal,4
A0009,3 (29-45 years old),glitch,4
A0009,3 (29-45 years old),GAN-synthesised,2
A0009,3 (29-45 years old),pixel-collage,4
A0009,3 (29-45 years old),pixel-collage,2
A0009,3 (29-45 years old),particle,4
A0009,3 (29-45 years old),particle,3
A0009,3 (29-45 years old),algorithmic-stroke,4
A0009,3 (29-45 years old),optical-flow,4
A0009,3 (29-45 years old),data-mapping,4
A0009,3 (29-45 years old),particle,3
A0009,3 (29-45 years old),voxel,4
A0009,3 (29-45 years old),algorithmic-stroke,4
A0009,3 (29-45 years old),GAN-synthesised,3
A0009,3 (29-45 years old),noise-field,3
A0009,3 (29-45 years old),shader,3
A0009,3 (29-45 years old),procedural-texture,2
A0009,3 (29-45 years old),pixel-collage,3
A0009,3 (29-45 years old),algorithmic-stroke,5
A0009,3 (29-45 years old),procedural-texture,5
A0009,3 (29-45 years old),pixel-collage,4
A0009,3 (29-45 years old),shader,3
A0009,3 (29-45 years old),procedural-texture,3
A0009,3 (29-45 years old),fractal,3
A0009,3 (29-45 years old),glitch,5
A0009,3 (29-45 years old),noise-field,5
A0009,3 (29-45 years old),data-mapping,3
A0009,3 (29-45 years old),optical-flow,3
A0009,3 (29-45 years old),fractal,4
A0009,3 (29-45 years old),voxel,4
A0010,1 (13-18 years old),voxel,3
A0010,1 (13-18 years old),data-mapping,4
A0010,1 (13-18 years old),pixel-collage,4
A0010,1 (13-18 years old),algorithmic-stroke,5
A0010,1 (13-18 years old),fractal,3
A0010,1 (13-18 years old),procedural-texture,1
A0010,1 (13-18 years old),glitch,4
A0010,1 (13-18 years old),optical-flow,1
A0010,1 (13-18 years old),pixel-collage,4
A0010,1 (13-18 years old),optical-flow,4
A0010,1 (13-18 years old),glitch,4
A0010,1 (13-18 years old),noise-field,4
A0010,1 (13-18 years old),particle,3
A0010,1 (13-18 years old),GAN-synthesised,4
A0010,1 (13-18 years old),voxel,4
A0010,1 (13-18 years old),GAN-synthesised,1
A0010,1 (13-18 years old),particle,3
A0010,1 (13-18 years old),data-mapping,1
A0010,1 (13-18 years old),glitch,4
A0010,1 (13-18 years old),algorithmic-stroke,3
A0010,1 (13-18 years old),noise-field,2
A0010,1 (13-18 years old),optical-flow,2
A0010,1 (13-18 years old),voxel,3
A0010,1 (13-18 years old),noise-field,4
A0010,1 (13-18 years old),particle,4
A0010,1 (13-18 years old),glitch,3
A0010,1 (13-18 years old),optical-flow,3
A0010,1 (13-18 years old),fractal,4
A0010,1 (13-18 years old),fractal,3
A0010,1 (13-18 years old),shader,3
A0010,1 (13-18 years old),algorithmic-stroke,5
A0010,1 (13-18 years old),pixel-collage,3
A0010,1 (13-18 years old),procedural-texture,1
A0010,1 (13-18 years old),GAN-synthesised,3
A0010,1 (13-18 years old),procedural-texture,2
A0010,1 (13-18 years old),pixel-collage,3
A0010,1 (13-18 years old),shader,2
A0010,1 (13-18 years old),procedural-texture,1
A0010,1 (13-18 years old),data-mapping,2
A0010,1 (13-18 years old),algorithmic-stroke,2
A0010,1 (13-18 years old),voxel,4
A0010,1 (13-18 years old),fractal,2
A0010,1 (13-18 years old),pixel-collage,4
A0010,1 (13-18 years old),GAN-synthesised,3
A0010,1 (13-18 years old),noise-field,4
A0010,1 (13-18 years old),algorithmic-stroke,3
A0010,1 (13-18 years old),data-mapping,2
A0010,1 (13-18 years old),shader,3
A0010,1 (13-18 years old),shader,3
A0010,1 (13-18 years old),particle,4
A0011,3 (29-45 years old),algorithmic-stroke,3
A0011,3 (29-45 years old),noise-field,3
A0011,3 (29-45 years old),voxel,3
A0011,3 (29-45 years old),noise-field,3
A0011,3 (29-45 years old),optical-flow,4
A0011,3 (29-45 years old),voxel,3
A0011,3 (29-45 years old),fractal,5
A0011,3 (29-45 years old),procedural-texture,4
A0011,3 (29-45 years old),glitch,5
A0011,3 (29-45 years old),algorithmic-stroke,5
A0011,3 (29-45 years old),pixel-collage,4
A0011,3 (29-45 years old),particle,5
A0011,3 (29-45 years old),fractal,4
A0011,3 (29-45 years old),algorithmic-stroke,4
A0011,3 (29-45 years old),GAN-synthesised,3
A0011,3 (29-45 years old),pixel-collage,3
A0011,3 (29-45 years old),procedural-texture,3
A0011,3 (29-45 years old),voxel,4
A0011,3 (29-45 years old),data-mapping,3
A0011,3 (29-45 years old),shader,3
A0011,3 (29-45 years old),noise-field,4
A0011,3 (29-45 years old),procedural-texture,1
A0011,3 (29-45 years old),GAN-synthesised,2
A0011,3 (29-45 years old),pixel-collage,3
A0011,3 (29-45 years old),GAN-synthesised,4
A0011,3 (29-45 years old),algorithmic-stroke,4
A0011,3 (29-45 years old),glitch,5
A0011,3 (29-45 years old),particle,5
A0011,3 (29-45 years old),particle,2
A0011,3 (29-45 years old),data-mapping,2
A0011,3 (29-45 years old),shader,2
A0011,3 (29-45 years old),fractal,4
A0011,3 (29-45 years old),optical-flow,3
A0011,3 (29-45 years old),data-mapping,3
A0011,3 (29-45 years old),procedural-texture,4
A0011,3 (29-45 years old),optical-flow,4
A0011,3 (29-45 years old),glitch,5
A0011,3 (29-45 years old),optical-flow,5
A0011,3 (29-45 years old),shader,4
A0011,3 (29-45 years old),voxel,2
A0011,3 (29-45 years old),glitch,2
A0011,3 (29-45 years old),particle,5
A0011,3 (29-45 years old),pixel-collage,3
A0011,3 (29-45 years old),optical-flow,5
A0011,3 (29-45 years old),noise-field,5
A0011,3 (29-45 years old),data-mapping,3
A0011,3 (29-45 years old),fractal,4
A0011,3 (29-45 years old),shader,3
A0011,3 (29-45 years old),GAN-synthesised,4
A0011,3 (29-45 years old),glitch,3
A0012,4 (46-60 years old),pixel-collage,2
A0012,4 (46-60 years old),particle,3
A0012,4 (46-60 years old),voxel,3
A0012,4 (46-60 years old),shader,2
A0012,4 (46-60 years old),shader,3
A0012,4 (46-60 years old),pixel-collage,3
A0012,4 (46-60 years old),procedural-texture,2
A0012,4 (46-60 years old),data-mapping,1
A0012,4 (46-60 years old),fractal,3
A0012,4 (46-60 years old),noise-field,4
A0012,4 (46-60 years old),algorithmic-stroke,4
A0012,4 (46-60 years old),GAN-synthesised,3
A0012,4 (46-60 years old),data-mapping,1
A0012,4 (46-60 years old),fractal,3
A0012,4 (46-60 years old),data-mapping,4
A0012,4 (46-60 years old),pixel-collage,1
A0012,4 (46-60 years old),noise-field,3
A0012,4 (46-60 years old),optical-flow,2
A0012,4 (46-60 years old),GAN-synthesised,3
A0012,4 (46-60 years old),optical-flow,3
A0012,4 (46-60 years old),voxel,5
A0012,4 (46-60 years old),shader,1
A0012,4 (46-60 years old),glitch,2
A0012,4 (46-60 years old),procedural-texture,4
A0012,4 (46-60 years old),particle,3
A0012,4 (46-60 years old),pixel-collage,3
A0012,4 (46-60 years old),optical-flow,3
A0012,4 (46-60 years old),algorithmic-stroke,2
A0012,4 (46-60 years old),algorithmic-stroke,4
A0012,4 (46-60 years old),shader,4
A0012,4 (46-60 years old),GAN-synthesised,4
A0012,4 (46-60 years old),voxel,1
A0012,4 (46-60 years old),voxel,4
A0012,4 (46-60 years old),procedural-texture,4
